                                    Alls_Well_That_Ends_Well         Anthony_and_Cleopatra                As_You_Like_It      A_Midsummer_Nights_Dream                    Coriolanus                        Hamlet               Henry_IV_Part_I              Henry_IV_Part_II                       Henry_V                 Julius_Caesar                     King_Lear            Loves_Labours_Lost                       Macbeth           Measure_For_Measure        Much_Ado_About_Nothing                       Othello                    Richard_II                   Richard_III              Romeo_and_Juliet          The_Comedy_of_Errors        The_Merchant_of_Venice    The_Merry_Wives_of_Windsor       The_Taming_of_the_Shrew                   The_Tempest              The_Winters_Tale              Titus_Andronicus                 Twelfth_Night
      Alls_Well_That_Ends_Well                      1.000000                      0.645824                      0.666322                      0.694407                      0.691630                      0.679809                      0.769894                      0.761966                      0.745739                      0.618773                      0.706398                      0.680016                      0.684617                      0.702492                      0.603952                      0.596685                      0.739765                      0.736577                      0.701346                      0.553284                      0.722993                      0.610103                      0.627757                      0.682865                      0.754962                      0.672443                      0.631991
         Anthony_and_Cleopatra                      0.645824                      1.000000                      0.590366                      0.609089                      0.622268                      0.688752                      0.695843                      0.682323                      0.748311                      0.604069                      0.631190                      0.607022                      0.717271                      0.622431                      0.531566                      0.619496                      0.760080                      0.656531                      0.637561                      0.502378                      0.745700                      0.561735                      0.556063                      0.732668                      0.666607                      0.618847                      0.553790
                As_You_Like_It                      0.666322                      0.590366                      1.000000                      0.631801                      0.635456                      0.615021                      0.709634                      0.699462                      0.685880                      0.575929                      0.646085                      0.624291                      0.627290                      0.649743                      0.560689                      0.548173                      0.670402                      0.663816                      0.650936                      0.514454                      0.668917                      0.566503                      0.584016                      0.631702                      0.685862                      0.623158                      0.580080
      A_Midsummer_Nights_Dream                      0.694407                      0.609089                      0.631801                      1.000000                      0.645419                      0.634555                      0.737394                      0.718887                      0.715533                      0.593004                      0.661273                      0.647016                      0.656347                      0.643600                      0.568398                      0.560761                      0.704082                      0.688730                      0.683046                      0.526480                      0.687263                      0.574772                      0.598959                      0.657410                      0.698313                      0.677291                      0.580709
                    Coriolanus                      0.691630                      0.622268                      0.635456                      0.645419                      1.000000                      0.641324                      0.738148                      0.730667                      0.716600                      0.651239                      0.671937                      0.645578                      0.665895                      0.668985                      0.565882                      0.557035                      0.696110                      0.692377                      0.657602                      0.526854                      0.692485                      0.579503                      0.591973                      0.645198                      0.719630                      0.663156                      0.583761
                        Hamlet                      0.679809                      0.688752                      0.615021                      0.634555                      0.641324                      1.000000                      0.731131                      0.719690                      0.781403                      0.580668                      0.656526                      0.640777                      0.729986                      0.646873                      0.555444                      0.630898                      0.787884                      0.693097                      0.655571                      0.518067                      0.761923                      0.580844                      0.580487                      0.723318                      0.697869                      0.639023                      0.573790
               Henry_IV_Part_I                      0.769894                      0.695843                      0.709634                      0.737394                      0.738148                      0.731131                      1.000000                      0.883198                      0.837873                      0.672695                      0.757509                      0.737891                      0.756121                      0.729037                      0.639199                      0.631001                      0.827558                      0.806891                      0.767060                      0.595704                      0.784518                      0.649151                      0.664333                      0.753958                      0.797858                      0.747181                      0.657769
              Henry_IV_Part_II                      0.761966                      0.682323                      0.699462                      0.718887                      0.730667                      0.719690                      0.883198                      1.000000                      0.816632                      0.657751                      0.745047                      0.720370                      0.738375                      0.727158                      0.634238                      0.621001                      0.801963                      0.795652                      0.742611                      0.585940                      0.772974                      0.666844                      0.659407                      0.732397                      0.787344                      0.725301                      0.653762
                       Henry_V                      0.745739                      0.748311                      0.685880                      0.715533                      0.716600                      0.781403                      0.837873                      0.816632                      1.000000                      0.650084                      0.726388                      0.735617                      0.821527                      0.706700                      0.610554                      0.666871                      0.881511                      0.782332                      0.725696                      0.568751                      0.837697                      0.640100                      0.638111                      0.796777                      0.763755                      0.723468                      0.622563
                 Julius_Caesar                      0.618773                      0.604069                      0.575929                      0.593004                      0.651239                      0.580668                      0.672695                      0.657751                      0.650084                      1.000000                      0.601915                      0.580774                      0.597950                      0.596688                      0.518891                      0.512234                      0.636813                      0.626893                      0.607477                      0.480031                      0.627464                      0.525191                      0.544940                      0.593180                      0.638234                      0.612617                      0.531981
